,genres
320,"[0, 3, 7]"
321,[18]
322,"[0, 2, 3, 6, 12, 15]"
323,[6]
324,"[6, 1, 10, 8]"
325,"[14, 4, 13, 5]"
326,"[0, 4, 16]"
327,[6]
328,"[14, 4]"
329,"[4, 6]"
330,"[4, 6, 7]"
331,[8]
332,"[3, 4]"
333,"[14, 8]"
334,"[14, 7, 8]"
335,"[4, 7]"
336,"[14, 9, 8]"
337,"[14, 0, 4, 7, 8]"
338,"[6, 7]"
339,"[6, 1, 7, 8]"
340,[16]
341,"[14, 13, 6]"
342,[6]
343,[6]
344,"[14, 4]"
345,[6]
346,"[6, 7, 11]"
347,"[14, 13, 6]"
348,"[13, 6]"
349,"[14, 0, 5]"
350,"[14, 5]"
351,[6]
352,"[1, 8]"
353,[6]
354,"[13, 6]"
355,"[3, 4, 5]"
356,[6]
357,[4]
358,[4]
359,"[4, 8]"
360,[16]
361,"[4, 7]"
362,[6]
363,[4]
364,"[14, 4, 13, 8]"
365,"[0, 3, 6]"
366,[8]
367,"[14, 8]"
368,[6]
369,"[6, 7]"
370,"[1, 9, 8]"
371,"[6, 10, 7, 8]"
372,[6]
373,[4]
374,"[4, 6]"
375,"[13, 6]"
376,"[0, 4, 16]"
377,[4]
378,"[14, 0, 8]"
379,"[4, 9]"
380,"[6, 8]"
381,[4]
382,"[14, 4, 6]"
383,"[4, 7]"
384,[4]
385,"[14, 0, 9]"
386,"[4, 7]"
387,[4]
388,"[6, 7]"
389,[6]
390,[4]
391,"[4, 6]"
392,"[6, 10, 7]"
393,[6]
394,"[4, 7]"
395,"[6, 8]"
396,"[0, 3, 6]"
397,"[13, 6, 8]"
398,[8]
399,"[6, 16]"
400,"[14, 0, 13, 6, 7, 8]"
401,[4]
402,"[6, 7]"
403,"[14, 0, 13, 8]"
404,"[14, 4, 11]"
405,[4]
406,"[4, 7]"
407,"[6, 7]"
408,[4]
409,[4]
410,"[4, 6]"
411,"[4, 11]"
412,"[14, 8]"
413,[6]
414,"[4, 6]"
415,"[6, 12]"
416,"[4, 13, 6]"
417,"[14, 13, 8]"
418,"[14, 0, 9, 8]"
419,"[6, 8]"
420,"[13, 6, 8]"
421,"[0, 3]"
422,"[14, 0, 4, 5]"
423,[4]
424,"[4, 16]"
425,"[6, 7]"
426,[4]
427,[8]
428,[6]
429,"[4, 10]"
430,"[14, 13, 6]"
431,"[14, 0, 8]"
432,[6]
433,"[4, 6, 7, 8]"
434,"[4, 7]"
435,"[4, 7]"
436,"[4, 6]"
437,[6]
438,"[14, 3, 7]"
439,"[14, 6, 9]"
440,[4]
441,"[6, 5, 7]"
442,"[13, 6, 8]"
443,[6]
444,"[6, 7]"
445,[6]
446,"[14, 6]"
447,"[1, 9]"
448,"[4, 10, 7]"
449,[4]
450,"[6, 7]"
451,"[4, 6]"
452,"[14, 6, 10]"
453,[4]
454,"[14, 13, 6, 9, 8]"
455,[4]
456,"[13, 8]"
457,"[14, 6]"
458,[6]
459,[6]
460,[6]
461,"[6, 11]"
462,"[4, 6]"
463,[6]
464,"[3, 6]"
465,"[4, 13, 1]"
466,"[14, 0, 5, 10]"
467,"[6, 7]"
468,[6]
469,[6]
470,[6]
471,[6]
472,"[4, 6, 7]"
473,[8]
474,"[14, 9, 8]"
475,"[4, 6, 7]"
476,"[4, 7, 8]"
477,"[14, 13]"
478,"[14, 0, 3, 4, 5, 9]"
479,"[14, 0, 8]"
480,"[14, 10, 8]"
481,"[6, 12]"
482,"[4, 7]"
483,"[2, 3, 5, 12]"
484,"[14, 0, 4, 7]"
485,"[14, 6, 16]"
486,"[13, 8]"
487,[18]
488,"[14, 0, 2, 3, 5]"
489,"[4, 6]"
490,"[6, 7]"
491,[4]
492,"[4, 6]"
493,"[4, 6]"
494,"[4, 6]"
495,[6]
496,"[4, 6]"
497,"[3, 4]"
498,"[0, 3, 6]"
499,"[13, 8]"
500,[6]
501,[18]
502,"[4, 6]"
503,[4]
504,"[3, 4]"
505,"[4, 6, 5, 7, 8]"
506,"[0, 2, 3, 4, 12]"
507,"[14, 9]"
508,"[0, 6, 16]"
509,"[14, 13, 8]"
510,"[13, 1, 8]"
511,"[2, 3, 6, 5, 12]"
512,"[2, 3, 5, 12, 7, 15]"
513,"[2, 3, 5, 12]"
514,"[4, 7]"
515,"[0, 16]"
516,"[14, 4, 13]"
517,[18]
518,"[6, 7]"
519,"[5, 1]"
520,"[4, 13, 6, 8]"
521,"[0, 3]"
522,"[14, 0, 2, 1, 9]"
523,"[14, 1, 9]"
524,[4]
525,"[6, 7]"
526,"[4, 6]"
527,"[2, 3]"
528,"[4, 6]"
529,"[4, 7]"
530,[4]
531,[4]
532,"[6, 8]"
533,"[13, 6, 10, 8]"
534,"[0, 2, 3, 5, 12, 7]"
535,"[6, 11]"
536,[4]
537,[4]
538,"[4, 6]"
539,[6]
540,[4]
541,[7]
542,"[4, 6]"
543,"[6, 8]"
544,[6]
545,"[14, 13, 6, 11]"
546,"[14, 0, 10, 8]"
547,"[4, 6]"
548,[6]
549,"[14, 0, 5]"
550,[4]
551,"[0, 2, 3, 5, 12]"
552,[8]
553,[4]
554,"[4, 6, 11]"
555,[14]
556,[6]
557,[6]
558,"[4, 9]"
559,"[0, 2, 3, 4, 5, 9]"
560,"[0, 4, 9]"
561,"[6, 8]"
562,[6]
563,"[6, 10, 7, 9, 8]"
564,[6]
565,"[14, 0, 4, 11]"
566,"[4, 7]"
567,"[14, 9, 8]"
568,"[14, 13, 6]"
569,"[10, 8]"
570,"[6, 7]"
571,[6]
572,[4]
573,[6]
574,"[14, 0]"
575,[6]
576,"[13, 6, 8]"
577,"[4, 7]"
578,"[0, 2, 3, 4, 12]"
579,[4]
580,"[0, 3]"
581,"[6, 10, 16]"
582,"[6, 7]"
583,"[4, 5, 9]"
584,[4]
585,"[0, 2, 4]"
586,[18]
587,"[6, 5, 1, 8]"
588,[4]
589,[6]
590,[4]
591,"[13, 8]"
592,"[14, 0, 8]"
593,[1]
594,"[14, 0, 7, 8]"
595,"[14, 9]"
596,"[2, 9]"
597,"[1, 8]"
598,[4]
599,"[2, 3, 4]"
600,[4]
601,"[14, 9, 8]"
602,"[4, 11]"
603,[6]
604,[18]
605,"[6, 11]"
606,"[14, 0]"
607,"[4, 13]"
608,"[6, 7]"
609,"[4, 6]"
610,[6]
611,[6]
612,"[1, 10]"
613,"[4, 13, 6]"
614,"[6, 7]"
615,"[14, 0, 9, 8]"
616,[6]
617,"[6, 8]"
618,"[2, 3, 6, 12, 7]"
619,"[4, 8]"
620,[4]
621,"[14, 6, 8]"
622,"[4, 5, 7, 9]"
623,[6]
624,[18]
625,[6]
626,"[14, 0, 6, 8]"
627,"[4, 1, 8]"
628,"[6, 10, 16]"
629,"[3, 4]"
630,"[6, 7]"
631,"[4, 6, 7]"
632,"[4, 7]"
633,"[6, 8]"
634,"[13, 6]"
635,"[0, 3]"
636,"[14, 0]"
637,"[3, 4, 5]"
638,[4]
639,[4]
640,[6]
641,"[6, 10]"
642,"[0, 3]"
643,"[4, 5, 12]"
644,[4]
645,"[13, 8]"
646,[4]
647,[6]
648,"[14, 0, 8]"
649,"[3, 4, 5]"
650,"[4, 6, 7]"
651,"[14, 8]"
652,"[3, 4]"
653,[1]
654,"[4, 1]"
655,[6]
656,"[14, 0, 9, 8]"
657,[6]
658,"[4, 6, 7]"
659,"[13, 6]"
660,"[14, 4, 13, 8]"
661,"[13, 6, 7, 8]"
662,"[4, 13]"
663,"[13, 6, 12, 8]"
664,[4]
665,"[14, 13, 6]"
666,"[14, 4, 13, 8]"
667,"[1, 8]"
668,"[9, 8]"
669,"[3, 4]"
670,"[6, 8]"
671,"[3, 6, 5]"
672,"[14, 4, 13]"
673,"[0, 2, 3, 12]"
674,"[6, 7]"
675,"[1, 8]"
676,"[4, 6, 7]"
677,[6]
678,[6]
679,"[0, 6, 7, 11]"
680,"[4, 6, 7]"
681,"[4, 12, 7]"
682,"[12, 7]"
683,"[4, 12]"
684,"[6, 7]"
685,"[6, 10, 7, 8]"
686,"[10, 8]"
687,"[4, 7]"
688,"[6, 8]"
689,"[4, 12, 7]"
690,"[14, 0, 10, 7, 8]"
691,"[4, 6, 7]"
692,"[4, 13]"
693,"[4, 13, 10, 7, 8]"
694,"[6, 7]"
695,"[17, 10]"
696,"[4, 6, 12, 7]"
697,"[4, 7]"
698,"[4, 6, 7]"
699,"[3, 6]"
700,[12]
701,"[0, 3, 5, 12]"
702,"[6, 7, 11]"
703,[4]
704,"[6, 17, 7]"
705,"[6, 10]"
706,"[0, 6, 9]"
707,[6]
708,[4]
709,"[6, 10, 7, 8]"
710,"[6, 17, 10, 8]"
711,"[17, 7, 8]"
712,"[10, 7, 8]"
713,"[6, 7]"
714,"[13, 10, 7, 8]"
715,[4]
716,"[4, 12]"
717,"[4, 7]"
718,"[4, 7]"
719,[12]
720,"[14, 0, 7]"
721,[0]
722,"[13, 17, 10]"
723,"[6, 5, 7]"
724,[6]
725,"[4, 12, 7]"
726,"[4, 6, 11]"
727,"[4, 7]"
728,"[6, 7, 16]"
729,[6]
730,"[4, 13]"
731,"[4, 7]"
732,"[0, 4]"
733,"[3, 6, 5, 7]"
734,[6]
735,"[4, 7]"
736,"[6, 7]"
737,[6]
738,[6]
739,[12]
740,"[6, 10, 8]"
741,"[1, 9, 8]"
742,"[0, 4, 7, 11]"
743,"[0, 4, 13, 6, 7]"
744,[6]
745,"[4, 6]"
746,"[7, 11]"
747,"[6, 11]"
748,[6]
749,[6]
750,"[4, 6]"
751,"[0, 3]"
752,"[6, 7]"
753,"[4, 6]"
754,"[14, 0, 8]"
755,[6]
756,[6]
757,"[4, 6]"
758,"[14, 13, 6, 8]"
759,"[14, 13]"
760,"[13, 17]"
761,"[6, 8]"
762,"[14, 8]"
763,"[3, 4]"
764,[6]
765,"[3, 4, 16]"
766,"[0, 16]"
767,"[0, 3, 5]"
768,"[3, 4]"
769,"[3, 4, 5, 7]"
770,"[3, 6]"
771,"[3, 4, 7]"
772,"[3, 4, 6]"
773,"[0, 3, 6]"
774,"[3, 4]"
775,"[0, 3]"
776,"[3, 4, 10]"
777,"[0, 6, 9]"
778,[4]
779,"[3, 4]"
780,"[2, 3, 5, 12, 7]"
781,"[2, 3, 12]"
782,"[2, 3, 12]"
783,"[2, 3, 5, 12]"
784,"[0, 6]"
785,"[3, 4, 5, 12]"
786,"[2, 3, 6, 12]"
787,"[0, 2, 3, 12]"
788,"[0, 3, 12]"
789,"[0, 2, 3, 5, 12]"
790,"[2, 3, 6]"
791,"[4, 13, 6, 8]"
792,"[12, 7]"
793,"[14, 13, 8]"
794,"[14, 1, 9, 8]"
795,[6]
796,[6]
797,"[4, 6]"
798,"[6, 7]"
799,"[6, 7]"
800,"[14, 6, 8]"
801,"[14, 0]"
802,"[18, 6]"
803,[6]
804,"[13, 6, 7]"
805,[6]
806,[8]
807,[6]
808,"[4, 12, 7]"
809,"[6, 7]"
810,"[4, 6]"
811,[8]
812,"[2, 3, 4, 5, 12, 7]"
813,"[4, 12, 7]"
814,"[13, 17]"
815,"[3, 4, 5, 12]"
816,"[6, 1, 8]"
817,"[4, 9]"
818,"[4, 11]"
819,"[4, 13]"
820,[4]
821,"[4, 12, 7]"
822,[6]
823,"[4, 12]"
824,"[13, 6]"
825,"[0, 6]"
826,"[13, 10, 8]"
827,"[6, 12, 7]"
828,"[13, 10, 8]"
829,"[6, 11]"
830,[4]
831,"[13, 10, 8]"
832,[6]
833,"[6, 7, 8]"
834,[6]
835,[6]
836,"[3, 6, 9]"
837,"[3, 6, 5]"
838,"[14, 6, 7]"
839,"[14, 7]"
840,[6]
841,[6]
842,[1]
843,[4]
844,[18]
845,"[14, 4, 6]"
846,"[13, 6]"
847,[6]
848,[6]
849,[6]
850,"[4, 6]"
851,[6]
852,[18]
853,[6]
854,"[4, 13]"
855,"[4, 5]"
856,"[14, 0, 9, 8]"
857,[1]
858,"[14, 0, 9, 8]"
859,"[1, 10]"
860,"[6, 10]"
861,[6]
862,[4]
863,"[0, 4, 5]"
864,[7]
865,[6]
866,[18]
867,[18]
868,"[2, 3, 4, 13]"
869,[6]
870,"[2, 4, 6, 5]"
871,[6]
872,"[6, 11]"
873,"[4, 6]"
874,[6]
875,[4]
876,[14]
877,[4]
878,[6]
879,"[4, 6]"
880,"[4, 6, 7]"
881,"[6, 5, 7]"
882,"[6, 7]"
883,"[6, 11]"
884,"[13, 6, 17]"
885,[4]
886,"[6, 7, 11]"
887,"[4, 6]"
888,[6]
889,[6]
890,[6]
891,"[4, 7]"
892,[18]
893,"[13, 6, 7]"
894,"[18, 12]"
895,[18]
896,[6]
897,[4]
898,"[14, 0, 9]"
899,"[14, 0, 4, 5, 7]"
900,"[14, 0]"
901,"[5, 9]"
902,"[14, 0, 1, 9]"
903,"[14, 0, 16]"
904,[4]
905,[6]
906,"[0, 6, 11]"
907,"[13, 6, 9, 8]"
908,[6]
909,"[14, 6, 11]"
910,"[14, 6, 16]"
911,"[14, 0, 9]"
912,"[6, 5, 7]"
913,"[17, 10, 8]"
914,"[13, 6]"
915,"[1, 9]"
916,"[14, 0, 4, 5, 1]"
917,"[0, 6, 7]"
918,"[6, 11]"
919,"[14, 13, 6, 8]"
920,"[13, 1]"
921,"[14, 4, 12]"
922,"[13, 6]"
923,"[6, 11]"
924,"[0, 2, 3, 4, 9]"
925,"[14, 6, 7, 11]"
926,[6]
927,"[6, 7]"
928,"[13, 6]"
929,[6]
930,"[4, 7]"
931,[6]
932,"[6, 10, 9]"
933,"[14, 6, 11]"
934,"[4, 13]"
935,"[4, 6, 7]"
936,"[4, 6, 7]"
937,[6]
938,[4]
939,"[14, 9, 8]"
940,"[4, 5, 1]"
941,"[6, 11]"
942,"[4, 6]"
943,"[4, 6, 7]"
944,"[13, 6, 17, 8]"
945,[6]
946,"[4, 6, 7]"
947,"[13, 17, 8]"
948,"[14, 13, 7, 8]"
949,"[0, 6, 11]"
950,"[6, 5]"
951,"[13, 17, 10, 8]"
952,"[6, 9, 8]"
953,"[14, 0, 6, 16]"
954,"[4, 1, 9]"
955,"[4, 12, 11]"
956,"[4, 7]"
957,[1]
958,"[0, 6]"
959,"[13, 17, 8]"
960,"[14, 4, 5, 1]"
961,"[14, 0, 6, 11]"
962,"[6, 11]"
963,"[14, 6, 10, 7, 8]"
964,"[4, 5, 7]"
965,"[6, 16]"
966,"[13, 8, 11]"
967,"[4, 6]"
968,"[4, 10, 8]"
969,"[0, 4, 9]"
970,"[4, 13, 6]"
971,"[6, 11]"
972,"[4, 6, 17]"
973,"[14, 0, 2, 9]"
974,"[14, 0, 5]"
975,[6]
976,"[4, 6, 7]"
977,"[4, 5]"
978,"[4, 6]"
979,[6]
980,"[4, 6, 11]"
981,"[2, 3, 5, 12]"
982,"[6, 16]"
983,"[13, 17, 10]"
984,[4]
985,"[6, 7]"
986,"[14, 0, 6]"
987,[4]
988,[18]
989,"[6, 7]"
990,"[14, 0]"
991,"[4, 6]"
992,[6]
993,[6]
994,"[6, 7]"
995,[4]
996,"[6, 12]"
997,"[6, 11]"
998,"[4, 6]"
999,"[6, 9]"
1000,"[3, 6, 5]"
1001,"[0, 6]"
1002,"[14, 16]"
1003,"[6, 7]"
1004,"[0, 6, 9]"
1005,"[4, 7]"
1006,[18]
1007,[6]
1008,"[4, 6]"
1009,"[14, 1, 9, 8]"
1010,"[4, 1, 8]"
1011,[1]
1012,[1]
1013,[1]
1014,[1]
1015,[1]
1016,"[6, 1, 10, 8]"
1017,[1]
1018,[1]
1019,[1]
1020,[1]
1021,"[1, 8]"
1022,"[1, 8]"
1023,"[1, 9]"
1024,"[1, 10]"
1025,"[1, 8]"
1026,"[6, 1, 8]"
1027,"[5, 1, 7, 8]"
1028,"[6, 1, 9]"
1029,[1]
1030,"[1, 8]"
1031,[8]
1032,"[13, 6, 8]"
1033,"[6, 5, 1, 8]"
1034,"[6, 5, 1]"
1035,"[1, 8]"
1036,[1]
1037,[1]
1038,"[1, 10, 8]"
1039,"[13, 6, 8]"
1040,"[13, 8]"
1041,"[4, 6, 7]"
1042,"[6, 10]"
1043,"[1, 8]"
1044,"[14, 0, 9, 8]"
1045,"[6, 7]"
1046,[6]
1047,"[3, 4]"
1048,[18]
1049,[6]
1050,[6]
1051,[6]
1052,"[0, 3, 4]"
1053,"[14, 0, 8]"
1054,"[0, 9]"
1055,"[14, 10, 9]"
1056,"[14, 9]"
1057,"[14, 0, 9, 8]"
1058,"[14, 0, 9]"
1059,"[0, 4, 9]"
1060,"[14, 13]"
1061,"[14, 4, 16]"
1062,"[14, 16]"
1063,"[4, 12, 7]"
1064,"[4, 12, 7]"
1065,"[14, 6]"
1066,"[14, 6, 8]"
1067,"[14, 1]"
1068,"[1, 8]"
1069,"[14, 1]"
1070,[4]
1071,"[14, 4, 9]"
1072,"[4, 6]"
1073,"[6, 7]"
1074,[4]
1075,"[4, 6]"
1076,"[14, 4, 13, 6, 9]"
1077,[6]
1078,"[7, 11]"
1079,[6]
1080,[6]
1081,"[0, 2, 4, 13]"
1082,"[13, 6, 10, 8]"
1083,"[4, 1, 10, 8]"
1084,"[14, 7, 11, 16]"
1085,"[4, 6, 5, 7]"
1086,"[13, 6, 7]"
1087,[6]
1088,[6]
1089,[4]
1090,"[13, 6, 7]"
1091,"[6, 12]"
1092,[6]
1093,"[0, 6]"
1094,"[13, 6, 10, 8]"
1095,[6]
1096,[4]
1097,[3]
1098,"[14, 8]"
1099,[6]
1100,"[14, 0, 4, 8]"
1101,"[4, 8]"
1102,"[14, 4]"
1103,"[14, 4, 13, 6, 8]"
1104,[6]
1105,"[14, 8]"
1106,[4]
1107,[4]
1108,"[4, 7]"
1109,[6]
1110,"[4, 11]"
1111,"[4, 6]"
1112,[13]
1113,[4]
1114,"[4, 7]"
1115,"[4, 6]"
1116,[4]
1117,"[4, 6, 7]"
1118,"[6, 5, 7]"
1119,"[10, 8]"
1120,"[3, 4, 10]"
1121,[4]
1122,"[13, 6, 5, 17, 10, 7]"
1123,"[14, 6]"
1124,"[13, 6]"
1125,"[4, 7]"
1126,"[14, 4, 13, 6]"
1127,"[3, 4]"
1128,[7]
1129,"[4, 6]"
1130,[7]
1131,"[14, 7, 9, 8]"
1132,"[6, 8]"
1133,"[6, 8]"
1134,"[4, 6, 10, 7]"
1135,[4]
1136,"[6, 12]"
1137,"[14, 6, 8]"
1138,"[2, 3, 12]"
1139,[4]
1140,[7]
1141,"[14, 0, 3]"
1142,"[6, 7]"
1143,[14]
1144,"[6, 7]"
1145,"[14, 0, 8]"
1146,"[4, 13, 7]"
1147,"[6, 7]"
1148,[4]
1149,"[6, 11]"
1150,[4]
1151,[7]
1152,"[14, 6, 8]"
1153,[4]
1154,"[14, 0, 4]"
1155,"[14, 8]"
1156,[6]
1157,[4]
1158,"[14, 0, 4, 9]"
1159,"[4, 6]"
1160,[6]
1161,"[4, 6, 7]"
1162,"[4, 7]"
1163,"[4, 6, 7]"
1164,"[14, 0, 9, 8]"
1165,[6]
1166,[4]
1167,"[3, 6]"
1168,"[6, 7]"
1169,"[4, 7]"
1170,"[0, 3, 6]"
1171,"[14, 0, 8]"
1172,"[6, 7]"
1173,"[14, 7, 8]"
1174,"[14, 0, 5, 8]"
1175,"[4, 6, 7]"
1176,"[4, 8]"
1177,"[0, 2, 3, 4, 12]"
1178,"[4, 7]"
1179,"[4, 7]"
1180,[6]
1181,"[14, 13, 6, 8]"
1182,[7]
1183,"[14, 4, 9]"
1184,[4]
1185,"[0, 3]"
1186,"[3, 5]"
1187,"[6, 9]"
1188,[4]
1189,"[14, 6]"
1190,"[14, 0, 5]"
1191,"[3, 4]"
1192,"[14, 13, 6, 8]"
1193,"[1, 9, 8]"
1194,"[14, 0, 9, 8]"
1195,"[3, 4]"
1196,"[4, 7]"
1197,"[4, 6]"
1198,[6]
1199,"[6, 10, 7, 8]"
1200,"[13, 6, 8]"
1201,[14]
1202,"[6, 7]"
1203,"[13, 6, 17]"
1204,[4]
1205,"[1, 9, 8]"
1206,"[14, 4]"
1207,"[0, 7]"
1208,"[14, 0]"
1209,"[14, 8]"
1210,"[6, 8]"
1211,"[14, 0, 8]"
1212,"[6, 7]"
1213,[4]
1214,[6]
1215,[4]
1216,"[0, 6]"
1217,"[14, 8, 11]"
1218,"[13, 17, 10, 8]"
1219,"[0, 6, 11]"
1220,"[13, 6, 10, 8]"
1221,[6]
1222,[1]
1223,[6]
1224,"[6, 10, 8]"
1225,"[14, 6, 8]"
1226,"[13, 6, 10]"
1227,"[4, 7]"
1228,"[14, 8]"
1229,[6]
1230,[6]
1231,"[4, 6, 7]"
1232,"[4, 6]"
1233,"[4, 6]"
1234,"[6, 7]"
1235,"[1, 10, 8]"
1236,"[6, 10, 8]"
1237,"[3, 4, 7, 9]"
1238,"[13, 6, 8]"
1239,"[4, 6]"
1240,[18]
1241,[6]
1242,[18]
1243,"[6, 9, 8]"
